Site,Plot,SpeciesID,Stems,SaplingDBH,SaplingAlive
SG1,1,23,4,,
SG1,1,26,32,,
SG1,1,28,3,,
SG1,2,23,6,,
SG1,2,26,34,,
SG1,2,24,2,,
SG1,3,28,3,,
SG1,4,121,1,,
SG1,4,23,6,,
SG1,4,26,37,,
SG1,4,24,1,,
SG1,5,121,5,,
SG1,5,23,9,,
SG1,5,26,23,,
SG1,5,24,2,,
SG1,5,28,1,,
SG1,6,121,1,,
SG1,6,23,11,,
SG1,6,26,1,,
SG1,6,24,1,,
SG1,7,121,1,,
SG1,7,23,2,,
SG1,7,26,20,,
SG1,8,121,1,,
SG1,8,23,7,,
SG1,8,26,16,,
SG1,9,23,20,,
SG1,9,26,33,,
SG1,10,121,5,,
SG1,10,23,9,,
SG1,10,28,10,,
SG1,11,121,5,,
SG1,11,23,34,,
SG1,11,26,23,,
SG1,11,28,1,,
SG1,12,121,4,,
SG1,12,23,39,,
SG1,12,26,30,,
SG1,13,23,27,,
SG1,13,26,28,,
SG1,13,28,3,,
SG1,14,23,1,,
SG1,14,26,15,,
SG1,15,23,3,,
SG1,15,26,15,,
SG1,16,121,1,,
SG1,16,23,25,,
SG1,16,26,20,,
SG1,17,121,1,,
SG1,17,23,34,,
SG1,17,26,25,,
SG1,18,121,3,,
SG1,18,23,45,,
SG1,18,26,41,,
SG1,19,121,4,,
SG1,19,23,33,,
SG1,19,26,34,,
SG1,19,28,3,,
SG1,20,121,2,,
SG1,20,23,58,,
SG1,20,26,21,,
SG1,21,121,2,,
SG1,21,23,25,,
SG1,21,26,25,,
SG1,22,121,1,,
SG1,22,23,7,,
SG1,22,28,6,,
SG1,23,121,2,,
SG1,23,23,18,,
SG1,23,26,22,,
SG1,23,28,4,,
SG1,24,121,5,,
SG1,24,23,36,,
SG1,24,26,26,,
SG1,24,28,1,,
SG1,25,23,21,,
SG1,25,26,35,,
SG1,25,24,1,,
SG2,1,23,4,,
SG2,1,26,3,,
SG2,1,24,7,,
SG2,2,23,6,,
SG2,3,23,4,,
SG2,3,24,4,,
SG2,4,23,5,,
SG2,4,24,7,,
SG2,5,23,3,,
SG2,6,90,2,,
SG2,7,23,10,,
SG2,8,23,7,,
SG2,8,90,6,,
SG2,9,23,8,,
SG2,10,23,1,,
SG2,10,90,2,,
SG2,11,23,5,,
SG2,12,23,8,,
SG2,12,90,5,,
SG2,13,23,2,,
SG2,13,90,6,,
SG2,14,23,3,,
SG2,14,90,1,,
SG2,14,24,2,,
SG2,15,23,2,,
SG2,15,90,3,,
SG2,15,24,8,,
SG2,16,23,2,,
SG2,16,90,2,,
SG2,16,29,1,,
SG2,16,26,7,,
SG2,17,23,2,,
SG2,17,26,7,,
SG2,18,23,3,,
SG2,18,29,1,,
SG2,19,23,7,,
SG2,19,90,3,,
SG2,20,23,13,,
SG2,21,23,8,,
SG2,22,23,5,,
SG2,22,90,2,,
SG2,23,23,4,,
SG2,23,90,3,,
SG2,23,29,12,,
SG2,24,23,2,,
SG2,24,90,1,,
SG2,24,29,7,,
SG2,25,23,2,,
SG2,25,90,5,,
SG2,25,29,12,,
SG3,1,121,2,,
SG3,1,23,41,,
SG3,1,90,3,,
SG3,2,23,44,,
SG3,2,90,2,,
SG3,2,25,2,,
SG3,3,23,39,,
SG3,3,90,4,,
SG3,4,23,28,,
SG3,4,25,2,,
SG3,4,90,2,,
SG3,4,24,5,,
SG3,5,121,3,,
SG3,5,23,58,,
SG3,5,90,2,,
SG3,5,24,3,,
SG3,6,121,3,,
SG3,6,23,40,,
SG3,6,90,1,,
SG3,6,24,2,,
SG3,6,28,1,,
SG3,7,121,13,,
SG3,7,23,16,,
SG3,7,90,3,,
SG3,8,121,8,,
SG3,8,23,24,,
SG3,8,24,3,,
SG3,8,28,1,,
SG3,8,25,2,,
SG3,9,121,1,,
SG3,9,23,58,,
SG3,9,90,1,,
SG3,10,121,2,,
SG3,10,23,41,,
SG3,11,121,2,,
