Site,Plot,OpenSkyrep1,Openskyrep2,Lightrep1ab,Lightrep1be,Lightrep2ab,Lightrep2be,Lightrep3ab,Lightrep3be,ANPPgrass,ANPPwoody,ANPPforb,ANPPpyd,ANPPpine,TreeNum,FRI,FRIRatio,TimeSinceLastBurn,Season ,Region,GSavglowtemp,GSavghightemp,GSprecip ,Elevation,USEcoregions4
SG1,1,1823,1783,1559,1187,1596,1463,1507,1236,6.82,,0.73,17.81,32.61,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,2,1823,1783,1292,1114,1009,589,630,594,9.05,,1.39,10.75,28.46,1,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,3,1823,1783,1476,682,692,439,686,626,4.19,2.12,0.33,3.89,32.17,1,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,4,1823,1783,1542,939,1553,1123,1612,1181,0.89,5.34,0.57,10.54,20.48,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,5,1823,1783,1602,1173,1619,1080,1542,995,7.75,,,16.56,18.83,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,6,1823,1783,697,506,1629,1599,1626,1380,2.98,,,12.4,19.33,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,7,1823,1783,247,193,413,209,480,217,2.61,7.49,,12.48,22.94,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,8,1823,1783,964,702,141,138,382,223,1.15,,0.86,2.13,29.88,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,9,1823,1783,1554,1295,1660,1052,1623,1062,2.38,,1.97,16.37,19.84,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,10,1823,1783,1636,734,1533,989,1630,1149,8.74,7.24,7.66,16.4,13.18,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
SG1,11,1823,1783,1367,1147,1620,858,1252,519,22.06,5.36,,18.96,7.88,0,2.375,0.5,1,1,Sandhills,15.63,27.94,732.79,129.4,SandHills
