Site,Plot,HMARESULT,VWRESULT,CEC,BaseSat.,AC,pH,P,K,Ca,Mg,Mn,Zn,Cu,S,Na,NITCROP1,PHOCROP1,POTCROP1,MgCROP1,CuCROP1,ZnCROP1,NoteCROP1
BLSF1,1,1.67,1.3,5.3,14,4.5,3.7,7,6,10,4,15,13,11,16,0.1, 100-150,60,70,25,$,$,11
BLSF1,2,0.92,1.35,4.1,15,3.4,4,5,6,11,4,7,11,13,23,0.1, 100-150,70,70,25,$,$,11
BLSF1,3,0.71,1.3,4,13,3.5,4,4,5,8,4,7,10,12,26,0.1, 100-150,70,70,25,$,$,11
BLSF1,4,0.97,1.32,4.3,13,3.8,3.9,4,6,8,4,8,11,14,26,0.1, 100-150,70,70,25,$,$,11
BLSF1,5,0.71,1.32,3.2,12,2.8,4.3,3,6,8,4,4,10,16,25,0.1, 100-150,70,70,25,$,$,11
BLSF1,6,0.6,1.35,3.6,12,3.2,4,3,5,8,4,6,9,11,20,0.1, 100-150,70,70,25,$,$,11
BLSF1,7,0.81,1.32,3.9,13,3.4,4,4,7,8,4,7,10,11,20,0.1, 100-150,70,60,25,$,$,11
BLSF1,8,0.97,1.3,4,12,3.5,4,3,6,8,3,8,11,10,19,0.1, 100-150,70,70,25,$,$,11
BLSF1,9,1.19,1.34,4.4,13,3.8,3.8,4,7,8,4,8,11,10,19,0.1, 100-150,70,60,25,$,$,11
BLSF1,10,2.01,1.37,4.3,15,3.7,3.7,5,6,10,4,12,14,8,11,0.1, 100-150,70,70,25,$,$,11
BLSF1,11,0.97,1.4,4,16,3.4,3.6,5,7,11,4,15,15,8,12,0.1, 100-150,70,60,25,$,$,11
BLSF1,12,1.02,1.36,4.2,10,3.8,3.8,5,5,7,3,6,12,11,18,0.1, 100-150,70,70,25,$,$,11
BLSF1,13,0.97,1.27,4.3,13,3.7,3.9,4,6,8,4,8,12,12,21,0.1, 100-150,70,70,25,$,$,11
BLSF1,14,0.81,1.33,3.7,13,3.2,4.2,4,5,8,4,6,7,11,18,0.1, 100-150,70,70,25,$,$,11
BLSF1,15,1.02,1.32,3.8,14,3.3,4.1,5,7,9,4,8,8,13,21,0.1, 100-150,70,60,25,$,$,11
BLSF1,16,0.86,1.29,4.3,13,3.7,4,4,7,9,4,10,9,10,22,0.1, 100-150,70,60,25,$,$,11
BLSF1,17,0.71,1.35,3.6,15,3.1,4.2,4,7,10,4,11,10,12,20,0.1, 100-150,70,60,25,$,$,11
BLSF1,18,0.76,1.33,4.3,10,3.8,4,4,5,7,3,5,8,12,22,0.1, 100-150,70,70,25,$,$,11
BLSF1,19,1.49,1.27,5.8,11,5.1,3.6,15,9,8,3,22,15,12,19,0.1, 100-150,50,60,25,$,$,11
BLSF1,20,1.19,1.45,4.2,18,3.4,3.7,5,8,13,4,29,20,6,9,0.1, 100-150,70,60,25,$,$,11
BLSF1,21,0.97,1.43,3.7,18,3,3.8,4,5,13,4,26,18,7,8,0.1, 100-150,70,70,25,$,$,11
BLSF1,22,0.92,1.4,3.7,18,3,3.9,5,7,12,5,20,13,11,12,0.1, 100-150,70,60,25,$,$,11
BLSF1,23,0.86,1.25,5.3,15,4.4,3.9,4,8,11,4,25,18,12,23,0.1, 100-150,70,60,25,$,$,11
BLSF1,24,1.14,1.27,4.8,12,4.2,3.9,4,5,8,3,14,13,11,19,0.1, 100-150,70,70,25,$,$,11
BLSF1,25,0.81,1.3,4.4,13,3.8,4,4,6,9,3,14,13,11,22,0.1, 100-150,70,70,25,$,$,11
BLSF2,1,0.86,1.28,5,11,4.4,3.8,4,6,8,3,7,10,14,23,0.1, 100-150,70,70,25,$,$,11
BLSF2,2,1.08,1.32,4.2,13,3.6,3.9,4,6,8,4,8,9,14,24,0.1, 100-150,70,70,25,$,$,11
BLSF2,3,2.37,1.28,5,11,4.5,3.7,4,6,7,3,10,10,14,21,0.1, 100-150,70,70,25,$,$,11
BLSF2,4,1.19,1.29,4.5,12,4,3.9,4,6,8,3,7,8,15,23,0.1, 100-150,70,70,25,$,$,11
BLSF2,5,1.02,1.28,5,11,4.4,3.8,4,7,8,3,8,9,15,29,0.1, 100-150,70,60,25,$,$,11
BLSF2,6,0.76,1.31,3.6,14,3.1,4,3,6,9,4,6,8,17,25,0.1, 100-150,70,70,25,$,$,11
BLSF2,7,1.14,1.29,4.7,11,4.2,3.8,4,7,7,3,6,8,18,25,0.1, 100-150,70,60,25,$,$,11
BLSF2,8,0.71,1.29,4.9,13,4.2,3.7,4,7,8,4,9,10,12,25,0.1, 100-150,70,60,25,$,$,11
BLSF2,9,0.56,1.37,2.7,16,2.2,4.4,3,5,11,4,5,8,17,27,0.1, 100-150,70,70,25,$,$,11
BLSF2,10,0.76,1.32,4.1,14,3.5,4.1,4,6,9,4,10,10,17,25,0.1, 100-150,70,70,25,$,$,11
BLSF2,11,0.86,1.33,4.7,12,4.2,3.9,4,7,8,3,8,10,19,25,0.1, 100-150,70,60,25,$,$,11
BLSF2,12,0.97,1.32,3.7,14,3.2,4.1,3,5,9,4,6,7,15,24,0.1, 100-150,70,70,25,$,$,11
BLSF2,13,0.66,1.32,3.7,14,3.2,4.1,3,6,9,4,7,8,13,20,0.1, 100-150,70,70,25,$,$,11
BLSF2,14,1.02,1.3,4.7,14,4,3.9,4,7,9,4,11,10,18,27,0.1, 100-150,70,60,25,$,$,11
BLSF2,15,0.92,1.3,3.7,16,3.1,4.1,3,11,10,4,7,10,15,22,0.2, 100-150,70,60,25,$,$,11
BLSF2,16,1.31,1.22,5.8,10,5.2,3.6,4,8,7,3,7,7,16,24,0.1, 100-150,70,60,25,$,$,11
BLSF2,17,0.76,1.28,4.6,12,4,3.9,4,7,8,4,6,7,18,24,0.1, 100-150,70,60,25,$,$,11
BLSF2,18,0.66,1.27,4.6,13,4,3.9,4,7,9,4,8,11,19,27,0.1, 100-150,70,60,25,$,$,11
BLSF2,19,0.76,1.33,4.2,16,3.5,4.1,4,8,11,5,8,11,17,27,0.1, 100-150,70,60,25,$,$,11
BLSF2,20,0.76,1.3,4.4,14,3.8,4,4,7,10,4,9,9,18,25,0.1, 100-150,70,60,25,$,$,11
BLSF2,21,0.92,1.3,4.2,14,3.6,4.1,5,7,9,4,8,12,22,24,0.1, 100-150,70,60,25,$,$,11
BLSF2,22,0.97,1.27,5,14,4.3,3.8,3,7,9,4,9,9,13,22,0.1, 100-150,70,60,25,$,$,11
BLSF2,23,0.92,1.28,4.6,12,4,4,4,6,8,4,8,7,14,23,0.1, 100-150,70,70,25,$,$,11
BLSF2,24,1.02,1.28,4.2,15,3.6,4.1,4,7,10,4,9,8,14,22,0.1, 100-150,70,60,25,$,$,11
BLSF2,25,0.92,1.34,4.2,15,3.6,4,3,6,11,3,7,7,13,21,0.1, 100-150,70,70,25,$,$,11
CACR1,1,0.81,1.16,4.9,30,3.4,4.1,5,11,24,5,142,29,15,18,0.1, 100-150,70,60,25,$,0,11
CACR1,2,0.86,1.16,4.5,19,3.6,4,5,9,14,4,79,25,15,21,0.1, 100-150,70,60,25,$,$,11
CACR1,3,1.08,1.14,4.8,25,3.6,4.1,5,14,18,5,119,29,16,21,0.1, 100-150,70,50,25,$,0,11
CACR1,4,0.86,1.06,6.5,33,4.3,4.1,6,17,26,7,173,40,17,27,0.2, 100-150,70,40,25,$,0,11
CACR1,5,0.76,0.99,6.6,29,4.7,3.9,4,18,22,6,137,47,15,34,0.2, 100-150,70,40,25,$,0,11
CACR1,6,0.81,1.19,4.8,25,3.6,4.1,4,13,18,6,89,36,15,23,0.1, 100-150,70,50,25,$,0,11
CACR1,7,1.14,1.08,5.5,24,4.2,4,5,11,17,5,79,33,16,23,0.1, 100-150,70,60,25,$,0,11
CACR1,8,0.71,1.13,4.9,27,3.6,4.2,4,14,20,6,142,40,15,24,0.1, 100-150,70,50,25,$,0,11
CACR1,9,0.86,1.19,4.8,18,4,3.9,4,9,13,4,62,29,14,22,0.1, 100-150,70,60,25,$,0,11
CACR1,10,0.81,1.21,5.1,26,3.8,4,5,10,20,5,129,36,13,20,0.1, 100-150,70,60,25,$,0,11
CACR1,11,1.02,1.22,5.2,30,3.6,4.2,9,11,24,5,192,38,12,19,0.1, 100-150,60,60,25,$,0,11
CACR1,12,0.76,1.07,5.8,21,4.6,3.8,5,12,16,4,120,42,12,23,0.1, 100-150,70,50,25,$,0,11
CACR1,13,1.37,1.09,5.8,23,4.5,4,4,11,17,5,123,39,17,25,0.1, 100-150,70,60,25,$,0,11
CACR1,14,0.92,1.15,5,23,3.8,4.1,6,13,16,5,86,33,17,27,0.1, 100-150,70,50,25,$,0,11
CACR1,15,1.14,1.04,5.8,22,4.6,3.9,5,16,15,5,95,38,20,29,0.2, 100-150,70,40,25,$,0,11
CACR1,16,1.31,1.08,5.2,20,4.1,4,5,13,14,5,58,29,19,25,0.1, 100-150,70,50,25,$,0,11
CACR1,17,1.8,1.02,6.5,22,5.1,3.9,5,19,15,5,79,35,21,26,0.1, 100-150,70,40,25,$,0,11
CACR1,18,0.97,1.06,6,23,4.6,3.9,4,14,17,5,103,42,15,26,0.1, 100-150,70,50,25,$,0,11
CACR1,19,0.76,1.11,5.3,26,4,4,4,13,19,6,123,46,14,26,0.1, 100-150,70,50,25,$,0,11
CACR1,20,0.86,1.08,7.4,52,3.5,4.6,5,14,46,5,429,51,17,20,0.1, 100-150,70,50,25,$,0,11
CACR1,21,0.92,1.08,7.2,45,4,4.4,5,19,38,6,395,62,14,24,0.1, 100-150,70,40,25,$,0,11
CACR1,22,0.92,1.04,5.9,26,4.4,4.1,4,14,19,5,126,44,16,31,0.1, 100-150,70,50,25,$,0,11
CACR1,23,1.14,1.05,6.1,21,4.8,4,8,14,15,5,74,49,38,40,0.2, 100-150,60,50,25,0,0,11
CACR1,24,1.37,0.93,8.2,37,5.2,4.1,6,16,32,4,172,39,21,33,0.2, 100-150,70,40,25,$,0,11
CACR1,25,1.43,1.12,6.3,26,4.6,4,6,12,20,5,71,33,17,28,0.2, 100-150,70,50,25,$,0,11
CACR2,1,1.14,1.13,4.7,17,3.9,4.1,6,17,11,4,24,24,18,30,0.1, 100-150,70,40,25,$,$,11
CACR2,2,0.81,1.25,3.6,20,2.9,4.2,5,16,13,5,17,17,15,25,0.1, 100-150,70,40,25,$,$,11
CACR2,3,1.37,1.06,5.7,16,4.8,4,6,19,10,4,23,24,16,28,0.2, 100-150,70,40,25,$,$,11
CACR2,4,0.86,1.16,4.8,19,3.8,4,5,15,14,4,30,35,13,23,0.1, 100-150,70,50,25,$,0,11
CACR2,5,0.86,1.19,4.9,19,4,3.9,5,14,14,4,51,47,10,20,0.2, 100-150,70,50,25,$,0,11
CACR2,6,1.14,1.01,6,18,4.9,3.8,7,18,13,4,60,45,12,21,0.1, 100-150,60,40,25,$,0,11
CACR2,7,1.02,1.08,5.6,17,4.6,3.9,8,22,11,4,32,33,14,25,0.1, 100-150,60,30,25,$,0,11
CACR2,8,1.08,1.14,4.6,18,3.8,4.1,5,16,12,4,22,22,13,25,0.1, 100-150,70,40,25,$,$,11
CACR2,9,0.86,1.24,3.2,16,2.7,4.5,4,11,10,4,9,12,19,33,0.2, 100-150,70,60,25,$,$,11
